"id"	"codigo_localidad"	"codigo_postal"	"nombre_localidad"	"nombre_localidad_resumido"	"id_departamento"	"id_provincia"	"ver"
3950	3950		SARAVIA, APOLINARIO	SARAVIA, APOLINARIO	432	16	v.1
1544	1544		COLONIA MALBERTINA ,EMB.KILOMETRO 531	COLONIA MALBERTINA ,	210	5	v.1
1122	1122		SAN ANTONIO ,EST.SAN A.DE LA PAZ	SAN ANTONIO ,EST.SAN	153	2	v.1
1967	1967		PUNTA DEL AGUA	PUNTA DEL AGUA	203	5	v.1
3357	3357		"25 DE MAYO"	"25 DE MAYO"	374	13	v.1
3786	3786		CRUZ QUEMADA	CRUZ QUEMADA	447	16	v.1
2583	2583		SANTA ANITA	SANTA ANITA	261	7	v.1
5195	5195		AMAICHA DEL VALLE	AMAICHA DEL VALLE	571	23	v.1
5440	5440	2128	ARROYO SECO	ARROYO SECO	503	20	v.1
4470	4470		CAÑADA ROSQUIN	CAÑADA ROSQUIN	523	20	v.1
1602	1602		EL CANO	EL CANO	218	5	v.1
409	409		GRUNBEIN	GRUNBEIN	18	1	v.1
856	856		SANTOS AREVALO, JOSE	SANTOS AREVALO, JOSE	41	1	v.1
1580	1580		CRUZ MOJADA	CRUZ MOJADA	219	5	v.1
3045	3045		EL RODEO	EL RODEO	349	11	v.1
3171	3171		CADETES DE CHILE	CADETES DE CHILE	366	12	v.1
1235	1235		LA FIDELIDAD	LA FIDELIDAD	166	3	v.1
256	256		DE ELIA, AGUSTIN ,AP.	DE ELIA, AGUSTIN ,AP	3	1	v.1
4295	4295		TALITA	TALITA	485	18	v.1
248	248		CRISTIANO MUERTO	CRISTIANO MUERTO	110	1	v.1
2284	2284		KILOMETRO 485 ,AP.	KILOMETRO 485 ,AP.	251	6	v.1
978	978		YERBAS	YERBAS	34	1	v.1
3163	3163		BARCALA	BARCALA	363	12	v.1
2937	2937		LA GLORIA	LA GLORIA	322	10	v.1
1434	1434		ARROYITO	ARROYITO	210	5	v.1
1401	1401		TECKA	TECKA	197	4	v.1
844	844		SANTA COLOMA	SANTA COLOMA	30	1	v.1
694	694		PASO, JUAN JOSE	PASO, JUAN JOSE	11	1	v.1
2674	2674		LOA MATACOS	LOA MATACOS	281	8	v.1
2785	2785		LOS ALISOS	LOS ALISOS	298	9	v.1
1852	1852		LOZADA	LOZADA	214	5	v.1
714	714		PERGAMINO	PERGAMINO	13	1	v.1
1796	1796		LAS MOJARRAS	LAS MOJARRAS	220	5	v.1
4870	4870		VIRGINIA	VIRGINIA	511	20	v.1
673	673	1636	OLIVOS	OLIVOS	48	1	v.1
275	275		DOMSELAAR	DOMSELAAR	26	1	v.1
3350	3350		VILLA LA PAZ	VILLA LA PAZ	366	12	v.1
1097	1097		NACIMIENTO	NACIMIENTO	152	2	v.1
1024	1024		COLLAGASTA	COLLAGASTA	158	2	v.1
2554	2554		PEDERNAL	PEDERNAL	272	7	v.1
3835	3835		KILOMETRO 1152 ,DV.	KILOMETRO 1152 ,DV.	432	16	v.1
